Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;einv_constr;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];[GWh/y];
Electricity;Electricity;Combined cycle gas turbine;CCGT;772;19.6;157;25;0.962;0;1;0;1.00E+15;615;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;772;19.6;157;25;0.962;0;1;0;1.00E+15;615;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3250;48.4;280;35;0.856;0;1;0;0;914;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2520;29.4;280;35;0.868;0;1;0;0;914;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7490;139;23300;30;0.95;0;1;0;0;89500;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5040;50.4;2810;40;1;0;1;0;0.115;8260;
Electricity;Electricity;Nuclear;NUCLEAR;4850;103;680;60;0.849;0;1;0;0;2610;
Electricity;Electricity;Photovoltaic;PV;870;9.94;1110;25;1;0;1;0;59.2;4470;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4970;34.6;764;30;1;0;1;0;6;2740;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1040;12.1;557;30;1;0;1;0;10;2870;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;7240;135;211;20;1;0;1;0;1.00E+15;4410;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;7240;135;211;20;1;0;1;0;1.00E+15;4410;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;159;4.76;45.6;17;1;0;1;0;1.00E+15;162;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142;8.54;45.6;17;1;0;1;0;1.00E+15;147;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462;16.2;68.5;17;1;0;1;0;1.00E+15;237;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1410;90.5;343;20;1;0;1;0;1.00E+15;1400;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1310;80.1;343;20;1;0;1;0;1.00E+15;1400;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;40;0.175;1.61;15;1;0;1;0;1.00E+15;5.59;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;492;20.5;145;18;1;0;1;0;1.00E+15;212;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;719;7.98;519;20;1;0;1;0;1.00E+15;1950;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;316;9.23;357;20;1;0;1;0;1.00E+15;1300;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;58.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;54.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;115;2.3;78.9;17;0.9;0;1;0;1.00E+15;277;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN);DHN_COGEN_BIO_HYDROLYSIS;4540;222;578;15;0.85;0;1;0;1.00E+15;1820;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1250;36.7;157;25;0.85;0;1;0;1.00E+15;615;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;2930;108;578;25;0.85;0;1;0;1.00E+15;1820;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN);DHN_COGEN_WET_BIOMASS;1370;112;578;25;0.75;0;1;0;1.00E+15;1820;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1080;39.6;169;25;0.85;0;1;0;1.00E+15;786;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;1500;56.2;2290;30;0.85;0;1;0;0;8650;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;345;11.7;145;25;0.95;0;1;0;1.00E+15;212;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;362;0.427;213;30;1;0;1;0;1.00E+15;781;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115;2.3;41.8;17;0.9;0;1;0;1.00E+15;149;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;58.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;54.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115;2.3;78.9;17;0.9;0;1;0;1.00E+15;277;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115;2.3;78.9;17;0.9;0;1;0;1.00E+15;277;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1410;90.5;515;25;0.85;0;1;0;1.00E+15;2010;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2930;108;578;25;0.85;0;1;0;1.00E+15;1820;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1080;39.6;169;25;0.85;0;1;0;1.00E+15;786;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332;1.51;1.61;15;0.95;0;1;0;1.00E+15;5.59;
Infrastructure;Infrastructure;Distric heating network;DHN;826;0;0;60;1;0;1;0;1.00E+15;0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;3200;0;0;1;1;0;1;0;1.00E+15;0;
Infrastructure;Infrastructure;Electrical grid cost;GRID;74900;0;0;80;1;0;1;0;1.00E+15;0;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;76.4;3.82;30.5;40;0.114;0;1;0;1.00E+15;109;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;76.4;3.82;30.5;40;0.114;0;1;0;1.00E+15;109;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;76.4;3.82;30.5;40;0.114;0;1;0;1.00E+15;109;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;611;30.6;95;15;0.297;0;1;0;1.00E+15;380;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;611;30.6;95;15;0.297;0;1;0;1.00E+15;380;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1040;31.2;138;15;0.297;0;1;0;1.00E+15;505;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;833;33.3;119;15;0.297;0;1;0;1.00E+15;470;
Mobility;Passenger private;Car electric;CAR_BEV;450;10;204;10;0.0514;0;1;0;1.00E+15;788;
Mobility;Passenger private;Car diesel;CAR_DIESEL;434;24;197;10;0.0514;0;1;0;1.00E+15;738;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;435;10;280;10;0.0514;0;1;0;1.00E+15;1020;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;420;24;180;10;0.0514;0;1;0;1.00E+15;677;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;429;34;228;10;0.0514;0;1;0;1.00E+15;857;
Mobility;Passenger private;Car methanol;CAR_METHANOL;420;24;180;10;0.0514;0;1;0;1.00E+15;677;
Mobility;Passenger private;Car gas;CAR_NG;429;24;180;10;0.0514;0;1;0;1.00E+15;677;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;456;34;229;10;0.0514;0;1;0;1.00E+15;868;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104;2.09;48.6;40;0.342;0;1;0;1.00E+15;190;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1510;54.4;81.5;40;0.275;0;0.5;0;1.00E+15;305;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;18;30;0.342;0;0.3;0;1.00E+15;73.2;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;371;18.6;70.7;15;0.0926;0;1;0;1.00E+15;265;
Mobility;Freight;Truck electric;TRUCK_ELEC;771;23.1;142;15;0.0926;0;1;0;1.00E+15;570;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;402;12.1;101;15;0.0926;0;1;0;1.00E+15;368;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;371;18.6;70.7;15;0.0926;0;1;0;1.00E+15;265;
Mobility;Freight;Truck gas;TRUCK_NG;371;18.6;64.6;15;0.0926;0;1;0;1.00E+15;243;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.00635;0.000397;0.00141;20;1;0;1;0;1.00E+15;0.00659;
Storage;Electricity storage;Batteries;BATT_LI;302;0.467;65.7;15;1;0;1;0;1.00E+15;274;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0.0141;30;1;0;1;0;1.00E+15;0.0659;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.00635;0.000397;0.00141;20;1;0;1;0;1.00E+15;0.00659;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.00635;0.000397;0.00141;20;1;0;1;0;1.00E+15;0.00659;
Storage;Other storage;Gas storage;GAS_STORAGE;0.0512;0.00131;0.0141;50;1;0;1;0;1.00E+15;0.0659;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;0.141;20;1;0;1;0;1.00E+15;0.659;
Storage;Other storage;LFO storage;LFO_STORAGE;0.00635;0.000397;0.00141;20;1;0;1;0;1.00E+15;0.00659;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0.00635;0.000397;0.00141;20;1;0;1;0;1.00E+15;0.00659;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;5.82;50;1;0;1;5;6.5;16;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;19;0.133;5.81;20;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;5.81;40;1;0;1;0;1.00E+15;23.1;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.54;0.00296;1.41;25;1;0;1;0;1.00E+15;6.59;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28;0.3;184;25;1;0;1;0;1.00E+15;342;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;681;62.9;964;25;0.86;0;1;0;1.00E+15;4440;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5160;128;631;40;1;0;1;0;1.00E+15;5610;
Synthetic fuels;Synthetic fuels;Biomass to HVC;BIOMASS_TO_HVC;1740;52;169;20;1;0;1;0;1.00E+15;547;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2520;38.5;169;20;1;0;1;0;1.00E+15;547;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;986;13.7;631;20;0.85;0;1;0;1.00E+15;5610;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1590;109;631;15;0.85;0;1;0;1.00E+15;5610;
Synthetic fuels;Synthetic fuels;Wood gasification;GASIFICATION_SNG;2520;178;169;25;0.85;0;1;0;1.00E+15;547;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;798;19.9;294;25;1;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;2530;178;169;25;0.86;0;1;0;1.00E+15;547;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;696;19.1;159;15;0.9;0;1;0;1.00E+15;3330;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;847;16.6;294;20;1;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2580;64;158;40;1;0;1;0;1.00E+15;1400;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;959;41.9;294;25;0.85;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;697;62.7;294;20;1;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;395;2.1;294;15;1;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to LFO;PYROLYSIS_TO_FUELS;1360;38;294;25;0.85;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline and diesel;PYROLYSIS_TO_LFO;1340;61.1;294;25;0.85;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Steam methane reforming;SMR;681;62.9;964;25;0.86;0;1;0;1.00E+15;4440;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;262;67;294;40;1;0;1;0;1.00E+15;982;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;1680;47.7;294;20;0.95;0;1;0;1.00E+15;982;
